MAJ   ; Latitude ; Longitude 
L ABERGEMENT CLEMENCIAT ;46.15;4.916667
L ABERGEMENT DE VAREY;46;5.416667
AMAREINS   ;46.083333;4.8
AMBERIEU EN BUGEY ;45.95;5.35
AMBERIEUX EN DOMBES ;46;4.9
AMBLEON   ;45.75;5.6
AMBRONAY   ;46;5.35
AMBUTRIX   ;45.933333;5.333333
ANDERT ET CONDON ;45.8;5.65
ANGLEFORT   ;45.916667;5.808333
APREMONT   ;46.208333;5.658333
ARANC   ;46;5.5
ARANDAS   ;45.9;5.483333
ARBENT   ;46.3;5.683333
ARBIGNIEU   ;45.733333;5.65
ARBIGNY   ;46.466667;4.966667
ARGIS   ;45.933333;5.483333
ARMIX   ;45.85;5.583333
ARS SUR FORMANS ;45.983333;4.816667
ARTEMARE   ;45.866667;5.7
ASNIERES SUR SAONE ;46.383333;4.883333
ATTIGNAT   ;46.283333;5.166667
BAGE LA VILLE ;46.316667;4.95
BAGE LE CHATEL ;46.3;4.933333
BALAN   ;45.833333;5.1
BANEINS   ;46.116667;4.9
BEAUPONT   ;46.4;5.266667
BELLIGNAT   ;46.25;5.616667
BELIGNEUX   ;45.866667;5.116667
BELLEGARDE SUR VALSERINE ;46.1;5.816667
BELLEY   ;45.766667;5.683333
BELLEYDOUX   ;46.25;5.766667
BENONCES   ;45.833333;5.483333
BENY   ;46.333333;5.283333
BEON   ;45.833333;5.75
BEREZIAT   ;46.366667;5.05
BETTANT   ;45.933333;5.366667
BEY   ;46.216667;4.85
BEYNOST   ;45.833333;5
BILLIAT   ;46.066667;5.783333
BIRIEUX   ;45.95;5.033333
BIZIAT   ;46.216667;4.933333
BLYES   ;45.85;5.25
BOHAS   ;46.166667;5.4
LA BOISSE  ;45.85;5.033333
BOISSEY   ;46.383333;5
BOLOZON   ;46.2;5.483333
BOULIGNEUX   ;46.016667;5
BOURG EN BRESSE ;46.2;5.216667
BOURG SAINT CHRISTOPHE ;45.883333;5.166667
BOUVENT   ;46.283333;5.633333
BOYEUX SAINT JEROME ;46.033333;5.466667
BOZ   ;46.4;4.9
BREGNIER CORDON  ;45.65;5.616667
BRENAZ   ;45.95;5.716667
BRENOD   ;46.066667;5.6
BRESSOLLES   ;45.866667;5.1
BRIORD   ;45.783333;5.466667
BUELLAS   ;46.2;5.133333
LA BURBANCHE  ;45.85;5.566667
CEIGNES   ;46.116667;5.5
CERDON   ;46.083333;5.466667
CERTINES   ;46.133333;5.266667
CESSEINS   ;46.066667;4.833333
CESSY   ;46.316667;6.066667
CEYZERIAT   ;46.166667;5.316667
CEYZERIEU   ;45.833333;5.733333
CHALAMONT   ;46;5.166667
CHALEINS   ;46.033333;4.8
CHALEY   ;45.95;5.533333
CHALLES   ;46.133333;5.466667
CHALLEX   ;46.183333;5.966667
CHAMPAGNE EN VALROMEY ;45.9;5.683333
CHAMPDOR   ;46.016667;5.6
CHAMPFROMIER   ;46.2;5.816667
CHANAY   ;46;5.783333
CHANEINS   ;46.1;4.85
CHANOZ CHATENAY  ;46.183333;5.033333
LA CHAPELLE DU CHATELARD;46.066667;5.033333
CHARANCIN   ;45.933333;5.633333
CHARIX   ;46.183333;5.683333
CHARNOZ SUR AIN ;45.866667;5.216667
CHATEAU GAILLARD  ;45.966667;5.3
CHATENAY   ;46.033333;5.2
CHATILLON EN MICHAILLE ;46.133333;5.783333
CHATILLON LA PALUD ;45.966667;5.25
CHATILLON SUR CHALARONNE ;46.116667;4.966667
CHAVANNES SUR REYSSOUZE ;46.433333;5
CHAVANNES SUR SURAN ;46.266667;5.416667
CHAVEYRIAT   ;46.183333;5.066667
CHAVORNAY   ;45.883333;5.7
CHAZEY BONS  ;45.8;5.683333
CHAZEY SUR AIN ;45.9;5.25
CHEIGNIEU LA BALME ;45.833333;5.616667
CHEVILLARD   ;46.116667;5.583333
CHEVROUX   ;46.383333;4.95
CHEVRY   ;46.283333;6.033333
CHEZERY FORENS  ;46.216667;5.883333
CIVRIEUX   ;45.916667;4.883333
CIZE   ;46.2;5.433333
CLEYZIEU   ;45.9;5.433333
COLIGNY   ;46.383333;5.35
COLLONGES   ;46.133333;5.9
COLOMIEU   ;45.733333;5.616667
CONAND   ;45.883333;5.466667
CONDAMINE   ;46.116667;5.566667
CONDEISSIAT   ;46.166667;5.083333
CONFORT   ;46.15;5.816667
CONFRANCON   ;46.266667;5.066667
CONTREVOZ   ;45.8;5.633333
CONZIEU   ;45.733333;5.6
CORBONOD   ;45.95;5.816667
CORCELLES   ;46.033333;5.583333
CORDIEUX   ;45.916667;5.033333
CORLIER   ;46.033333;5.5
CORMARANCHE EN BUGEY ;45.95;5.6
CORMORANCHE SUR SAONE ;46.233333;4.833333
CORMOZ   ;46.45;5.233333
CORVEISSIAT   ;46.233333;5.483333
COURMANGOUX   ;46.333333;5.366667
COURTES   ;46.466667;5.1
CRANS   ;45.966667;5.216667
CRAS SUR REYSSOUZE ;46.3;5.166667
CRAZ EN MICHAILLE ;46.033333;5.766667
CRESSIN ROCHEFORT  ;45.766667;5.766667
CROTTET   ;46.283333;4.9
CRUZILLES LES MEPILLAT ;46.216667;4.883333
CUISIAT   ;46.3;5.383333
CULOZ   ;45.85;5.783333
CURCIAT DONGALON  ;46.466667;5.15
CURTAFOND   ;46.266667;5.083333
DAGNEUX   ;45.85;5.066667
DIVONNE LES BAINS ;46.366667;6.133333
DOMMARTIN   ;46.341667;4.991667
DOMPIERRE SUR VEYLE ;46.066667;5.2
DOMPIERRE SUR CHALARONNE ;46.133333;4.9
DOMSURE   ;46.416667;5.3
DORTAN   ;46.316667;5.666667
DOUVRES   ;45.983333;5.366667
DROM   ;46.216667;5.366667
DRUILLAT   ;46.066667;5.316667
ECHENEVEX   ;46.316667;6.033333
ETREZ   ;46.333333;5.183333
EVOSGES   ;45.958333;5.5
FARAMANS   ;45.9;5.116667
FAREINS   ;46.016667;4.766667
FARGES   ;46.166667;5.916667
FEILLENS   ;46.333333;4.883333
FERNEY VOLTAIRE  ;46.25;6.116667
FITIGNIEU   ;45.933333;5.666667
FLAXIEU   ;45.816667;5.733333
FOISSIAT   ;46.366667;5.183333
AMAREINS FRANCHELEINS CES ;46.066667;4.8
FRANS   ;45.983333;4.783333
GARNERANS   ;46.2;4.833333
GENOUILLEUX   ;46.116667;4.783333
GEOVREISSIAT   ;46.2;5.566667
GEOVREISSET   ;46.25;5.6
GERMAGNAT   ;46.316667;5.45
GEX   ;46.333333;6.066667
GIRON   ;46.233333;5.766667
GORREVOD   ;46.416667;4.95
LE GRAND ABERGEMENT ;46.033333;5.666667
GRAND CORENT  ;46.2;5.433333
GRANGES   ;46.233333;5.5
GRIEGES   ;46.25;4.85
GRILLY   ;46.333333;6.116667
GROISSIAT   ;46.216667;5.6
GROSLEE   ;45.716667;5.566667
GUEREINS   ;46.1;4.783333
HAUTECOURT ROMANECHE  ;46.158333;5.416667
HAUTEVILLE LOMPNES  ;45.966667;5.6
HOSTIAS   ;45.9;5.533333
HOTONNES   ;46;5.683333
ILLIAT   ;46.183333;4.883333
